,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
351,61870815,61870815,14:34:00,20240606,111,0,y1998,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
352,61848204,61848204,14:50:00,20240606,68,1,y2063,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
353,61390945,61390945,13:47:00,20240606,16,0,y1729,1729,,trip_updates (2024-06-06 18:11:20.441111+00:00)
354,61870655,61870655,14:35:00,20240606,109,1,y3124,3124,,trip_updates (2024-06-06 18:11:20.441111+00:00)
355,61392616,61392616,15:02:00,20240606,45,0,y1788,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
356,61946066,61946066,15:09:00,20240606,742,0,y1313,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
357,62145425,62145425,14:03:00,20240606,21,1,y1673,1673,,trip_updates (2024-06-06 18:11:20.441111+00:00)
358,61869573,61869573,14:45:00,20240606,134,1,y0901,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
359,61945640,61945640,15:10:00,20240606,28,1,y1253,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
360,61945926,61945926,14:05:00,20240606,39,1,y1217,1217,,trip_updates (2024-06-06 18:11:20.441111+00:00)
361,62146120,62146120,14:43:00,20240606,32,1,y1692,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
362,62216766,62216766,14:15:00,20240606,120,0,y3308,3308,,trip_updates (2024-06-06 18:11:20.441111+00:00)
363,61848355,61848355,14:24:00,20240606,71,1,y1989,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
364,61850010,61850010,14:28:00,20240606,75,0,y1929,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
365,62248823,62248823,14:14:00,20240606,Blue,1,B-547CB6A6,0725,,trip_updates (2024-06-06 18:11:20.441111+00:00)
366,CR-660268-197,CR-660268-197,14:05:00,20240606,CR-Newburyport,0,1707,1707,,trip_updates (2024-06-06 18:11:20.441111+00:00)
367,62144792,62144792,14:25:00,20240606,26,1,y1662,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
368,61946064,61946064,14:31:00,20240606,742,0,y1313,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
369,61945679,61945679,13:35:00,20240606,28,0,y1263,1263,,trip_updates (2024-06-06 18:11:20.441111+00:00)
370,CR-670221-717,CR-670221-717,13:28:00,20240606,CR-Franklin,0,1857,1857,,trip_updates (2024-06-06 18:11:20.441111+00:00)
371,61392150,61392150,14:36:00,20240606,1,1,y1830,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
372,ADDED-1581935256,ADDED-1581935256,14:18:00,20240606,Red,1,R-547CA251,1715,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
373,61928912,61928912,14:10:00,20240606,216,0,y0801,0801,,trip_updates (2024-06-06 18:11:20.441111+00:00)
374,61946283,61946283,,,751,0,,,CANCELED,trip_updates (2024-06-06 18:11:20.441111+00:00)
375,61390950,61390950,14:30:00,20240606,16,0,y1888,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
376,61393322,61393322,13:30:00,20240606,45,0,y1859,1859,,trip_updates (2024-06-06 18:11:20.441111+00:00)
377,61871041,61871041,14:28:00,20240606,89,0,y1994,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
378,61849075,61849075,14:35:00,20240606,83,1,y2007,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
379,61929190,61929190,14:40:00,20240606,226,0,y0817,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
380,61870811,61870811,13:58:00,20240606,111,0,y3130,3130,,trip_updates (2024-06-06 18:11:20.441111+00:00)
381,62146173,62146173,14:46:00,20240606,32,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
382,62144889,62144889,14:05:00,20240606,36,1,y1648,1648,,trip_updates (2024-06-06 18:11:20.441111+00:00)
383,61929437,61929437,14:52:00,20240606,240,1,y0832,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
384,61394043,61394043,14:40:00,20240606,17,0,y3265,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
385,61870860,61870860,14:52:00,20240606,93,0,y2111,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
386,62146162,62146162,14:53:00,20240606,32,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
387,61929352,61929352,14:31:00,20240606,238,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
