id,vehicle_trip_trip_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_trip_route_id,vehicle_trip_direction_id,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_occupancy_status,vehicle_occupancy_percentage,vehicle_multi_carriage_details,vehicle_position_speed
G-10365,ADDED-1581923744,13:11:21,20240530,ADDED,Green-E,0.0,42.33915,-71.09199,225.0,610.0,INCOMING_AT,1717090424,70245,G-10365,3861-3647,,,"[{'label': '3861', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3647', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",4.3
y1332,61946590,13:16:00,20240530,SCHEDULED,741,1.0,42.368813,-71.02893,0.0,6.0,IN_TRANSIT_TO,1717090472,17096,y1332,1332,FEW_SEATS_AVAILABLE,80.0,,
y3299,61394369,13:30:00,20240530,SCHEDULED,55,0.0,42.34664,-71.084465,327.0,3.0,STOPPED_AT,1717090475,11390,y3299,3299,MANY_SEATS_AVAILABLE,0.0,,
y1704,62146071,13:40:00,20240530,SCHEDULED,32,0.0,42.30298,-71.10995,45.0,1.0,STOPPED_AT,1717090458,1346,y1704,1704,MANY_SEATS_AVAILABLE,20.0,,
y3127,61849116,13:50:00,20240530,SCHEDULED,350,1.0,42.38623,-71.07672,320.0,1.0,STOPPED_AT,1717090474,6902,y3127,3127,MANY_SEATS_AVAILABLE,20.0,,
y3259,61394065,13:40:00,20240530,SCHEDULED,10,0.0,42.31641,-71.08333,135.0,1.0,STOPPED_AT,1717090410,13321,y3259,3259,MANY_SEATS_AVAILABLE,0.0,,
y1213,61945638,13:37:00,20240530,SCHEDULED,28,1.0,42.26748,-71.091995,259.0,1.0,STOPPED_AT,1717090475,18511,y1213,1213,MANY_SEATS_AVAILABLE,0.0,,
G-10182,ADDED-1581923742,13:10:42,20240530,ADDED,Green-D,0.0,42.34811,-71.09211,310.0,130.0,INCOMING_AT,1717090458,70151,G-10182,3878-3681,,,"[{'label': '3878', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3681', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
1708,CR-660225-114,13:43:00,20240530,SCHEDULED,CR-Newburyport,1.0,42.655106,-70.62742,,0.0,STOPPED_AT,1717090457,GB-0353-S,1708,1708,,,,
y3247,61394037,13:35:00,20240530,SCHEDULED,60,1.0,42.320744,-71.17784,172.0,2.0,IN_TRANSIT_TO,1717090478,17000,y3247,3247,,,,
1647,CR-660358-418,13:25:00,20240530,SCHEDULED,CR-Fitchburg,1.0,42.581352,-71.80122,100.0,10.0,IN_TRANSIT_TO,1717090438,FR-0494-CS,1647,1647,,,,8.0
y1683,62144620,13:20:00,20240530,SCHEDULED,24,1.0,42.26247,-71.10857,0.0,14.0,STOPPED_AT,1717090475,6362,y1683,1683,FEW_SEATS_AVAILABLE,40.0,,
B-547C9416,62248807,13:19:00,20240530,SCHEDULED,Blue,1.0,42.35893,-71.05632,80.0,30.0,INCOMING_AT,1717090468,70044,B-547C9416,0763,,,"[{'label': '0763', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '0762', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}, {'label': '0720', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 3}, {'label': '0721', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 4}, {'label': '0793', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 5}, {'label': '0792', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 6}]",
y1820,61392329,14:05:00,20240530,SCHEDULED,15,0.0,42.33935,-71.05834,261.0,1.0,STOPPED_AT,1717090477,1259,y1820,1820,MANY_SEATS_AVAILABLE,0.0,,
G-10096,ADDED-1581923778,13:32:12,20240530,ADDED,Green-E,1.0,42.36563,-71.06057,315.0,630.0,STOPPED_AT,1717090466,70205,G-10096,3864-3669,,,"[{'label': '3864', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3669', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y1798,61392295,13:55:00,20240530,SCHEDULED,60,0.0,42.34899,-71.09593,90.0,1.0,STOPPED_AT,1717090449,899,y1798,1798,MANY_SEATS_AVAILABLE,0.0,,
y3118,61870737,13:35:00,20240530,SCHEDULED,104,1.0,42.42658,-71.07399,225.0,1.0,STOPPED_AT,1717090450,53270,y3118,3118,MANY_SEATS_AVAILABLE,0.0,,
y1341,61946569,13:34:00,20240530,SCHEDULED,741,0.0,42.35248,-71.055405,0.0,1.0,STOPPED_AT,1717090428,74611,y1341,1341,MANY_SEATS_AVAILABLE,0.0,,
